G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.9281863	0.2271246	0.7029089	0.8676085	0.0617198	0.1850591	0.9895530	1.0047199	0.8260062	0.5529965	1.0106261	0.5495050	0.6393554	0.0433630	0.8010438	0.1286931	0.3403102	0.9644414	0.1805785	1.1320465	1.0275592	0.6871336	1.0538515	1.0604962	0.9691833	1.0274474	0.5081159	1.0205077	0.7690383	0.8953485	0.6933050	1.1470255	1.1014684	0.8991011	0.5958062	0.0772841	0.0415312	0.2818250	0.5571515	0.4753258	0.9115402	0.5675946	1.1393801	1.1023941	0.9345083	1.0482525	0.8664389	0.9522713	0.1956541	0.8860708	1.0572285	0.6997972	0.9341529	0.8990002	0.5026919	0.9548703	0.9177325	0.0702207	1.0764347	0.9148770	1.0701131	0.4571194	0.7528903	0.7951964	0.5346108	0.6850380	1.0034086	0.2899722	0.7425371	0.9943669	1.1030290	0.9030200	0.1211129	0.7483907	1.0008249	0.9428120	1.0081806	0.6093923	0.9004033	0.6820625	0.8392114	0.6127841	0.8532045	0.6369280	0.0387506	0.5750696	0.9100281	0.2969211	1.1543111	0.8858668	0.2789828	0.5778705	0.8433869	0.8714119	1.0535796	0.4784816	0.2914939	1.1412577	1.0301079	0.7345154
0.9475879	0.2123334	0.6092454	0.7961024	0.0929664	0.2225239	0.6981240	1.0807926	0.9314763	0.3319098	1.0748559	0.5391348	0.8447857	0.0985697	0.6449374	0.1157232	0.2374403	0.9254179	0.1225690	0.9609720	1.0032689	0.9735899	0.9642605	1.1651886	0.8780399	1.1162292	0.5463483	1.1594146	0.7592784	0.6728908	0.6500715	0.8021761	1.0181145	0.7332255	0.3589678	0.0613517	0.0578740	0.3825406	0.6441904	0.4401801	0.9605652	0.5180326	1.2260046	0.9061779	1.0714362	1.1116670	1.0820294	1.0191942	0.1669578	1.0659390	0.9887591	0.6965782	0.8356212	1.0888325	0.6362126	1.0298754	0.7515955	0.1301433	1.1329639	0.9319262	0.8651515	0.4205751	0.7167305	0.8402660	0.6098592	1.0041087	0.9372812	0.1642552	0.7280286	1.1254099	0.9403594	0.7363582	0.0784363	0.6472864	0.9039369	0.9440441	0.9978770	0.6984560	0.9935061	0.7841605	1.0278115	0.5575667	0.6700942	0.6269395	0.0478845	0.7028122	0.9050041	0.2591132	1.1151933	0.8813195	0.3890924	0.7668478	1.1015010	1.0101997	1.0168105	0.3388805	0.4790886	0.9481118	1.1564556	0.9699834
1.2120485	0.1869473	0.7610268	0.8279157	0.1007050	0.1119498	1.0209507	1.1976574	1.0079765	0.6379479	0.9717901	0.7495366	0.8233077	0.0878472	0.7429135	0.1891469	0.2784242	0.8062023	0.1924076	1.1076201	1.1251268	0.9189483	1.0488661	1.0837609	0.9900331	1.1108899	0.5194577	1.0322007	0.8191710	0.7981313	0.6680133	0.9934970	1.1916008	0.9099324	0.7600331	0.0685320	0.0552674	0.3733223	0.6103492	0.3436809	0.8817403	0.3624850	0.8482223	0.8379685	0.9228057	1.2115500	1.0139359	1.0270048	0.2271146	1.0260435	0.9680484	0.5709040	0.7201187	0.9152361	0.6328548	0.9197852	0.7815524	0.1248237	1.0981190	1.0618283	0.8185537	0.5395592	0.6008592	1.0559074	0.7598235	0.8737621	1.2416211	0.2534354	0.8116314	0.9104752	1.0238106	0.7603671	0.1133225	0.6662381	1.1159648	1.0772798	0.8947243	0.7995706	0.8732781	0.6812213	1.0881441	0.6019587	0.4991639	0.6264259	0.0254648	0.6364476	0.7754146	0.1873434	1.1985127	0.7317375	0.3662346	0.4804257	1.2411991	0.9206250	1.0485195	0.3834798	0.3480224	0.7890076	1.1418114	0.9207522
1.0031722	0.3335391	0.7719871	0.5727357	0.0925095	0.2853166	0.7698538	0.9327740	0.9707705	0.2039566	0.7132497	0.4918388	0.9824461	0.0968874	0.0535586	0.2872087	0.2781456	0.9398025	0.0081756	0.5777066	0.7691475	0.9191730	1.0198052	1.2395464	0.8859554	0.9557232	0.8215484	0.8710332	1.2549230	1.2078802	0.9337000	0.9153082	1.0011123	0.3355341	0.1548070	0.7017083	0.0409614	0.5658329	0.5901648	1.1254554	1.0116465	0.7162343	0.8951401	0.9461204	1.0700099	1.0061287	0.9222200	1.0919413	0.0007093	0.7503140	0.9870677	0.8166511	1.0742635	1.0330652	0.4837042	1.0995554	0.7403806	0.3264293	0.7949762	1.0951029	0.4924154	0.4646703	0.5234740	1.1730810	0.6464142	0.6987263	0.8047504	0.5448882	0.4763856	0.9122093	1.2410845	0.7200657	0.2631657	1.1941467	0.5994633	0.8997275	1.1330499	0.6910205	0.5651540	0.8471609	0.9897334	1.0705688	0.4786976	0.2454000	0.6668690	0.9150663	0.8185058	0.3083951	0.5428560	1.0180321	0.2000113	0.6421344	0.7145967	0.9194950	1.0226999	0.3035062	0.4052708	0.8927712	0.6544720	0.6596097
0.7380234	0.3359326	0.7202104	0.6682921	0.0552678	0.2677473	0.8469507	1.0942212	1.0110403	0.1818481	0.8141647	0.5326498	0.9633656	0.1751762	0.0715081	0.2174809	0.2730153	1.0142207	0.0069399	0.6527026	0.8942435	1.0835836	0.8632055	1.1593627	0.9156568	1.0438313	0.5235610	1.0042400	0.9453154	1.1531292	1.1812512	0.5825741	0.9653239	0.2941663	0.2824644	0.6788466	0.0559733	0.5257513	0.6471482	0.8450768	0.8479926	0.6358337	1.0141986	0.9158647	0.9687669	0.8871852	0.9144673	1.0695903	0.0026596	0.8123131	1.0050087	0.7928034	1.0841638	0.9055208	0.4485603	1.1345333	0.6768994	0.3864045	1.1185742	1.1394613	0.6799355	0.4811877	0.5531496	1.0629883	0.5378798	0.5419650	0.9124718	0.5151638	0.3095412	0.9858384	0.7618773	0.7559349	0.2559300	1.0237640	0.6683286	0.9221871	0.9892153	0.5917351	0.3746987	0.7676281	1.0279459	1.1136096	0.4757901	0.3149120	0.7665968	0.8596612	1.0237410	0.3808716	0.5619422	0.9707349	0.4018375	0.7112991	0.5246598	1.0065547	0.9298801	0.2068561	0.3910680	0.8321938	0.7177908	0.6856214
1.1444865	0.3263513	0.7855868	0.6948453	0.0463735	0.2521174	0.8700373	1.0148816	0.9032453	0.2613975	0.7641605	0.6679614	0.9349962	0.1001481	0.0511996	0.2407070	0.2431761	0.9536656	0.0101774	0.6920013	1.0043679	0.9061082	0.7577931	0.8810981	0.9536231	1.0138011	0.7322339	0.8125907	0.9866627	1.0447718	0.9305149	0.7589821	0.9194381	0.3401476	0.0019181	0.6453328	0.0873101	0.5589143	0.5680985	0.8224057	1.0434144	0.6906729	1.0909517	0.9254819	0.9566306	1.0375963	1.0448162	1.1326932	0.0032626	0.9187497	1.0829195	0.8646142	1.0212789	0.9502316	0.5235416	0.9952710	0.7547452	0.3049482	1.0563218	1.1518579	0.6412282	0.4660080	0.4449865	0.9541773	0.4628403	0.7433820	0.8221867	0.4554772	0.3674442	0.8659092	1.2104135	0.7092115	0.2515707	1.1513621	0.5645545	1.0437655	0.8968250	0.7544029	0.3775871	0.6258720	1.0072099	0.9462242	0.4140779	0.2552498	0.8820382	0.8589254	0.7247326	0.3210783	0.6246423	0.9162064	0.4045387	0.6368870	0.7907522	0.9016426	0.7969074	0.2221268	0.4572588	1.0734759	0.7710407	0.7843812
0.9060527	0.0031717	0.5032477	0.5166624	0.1798440	0.0384426	1.0471204	0.3059261	0.9606439	0.1267564	0.9061413	0.4163810	1.0975738	0.0677954	0.1970100	0.4946718	0.2828627	0.8952432	0.0402296	1.0690451	1.0555469	0.2629554	0.6865487	1.0548747	1.0049992	0.6194893	0.0267050	0.7295533	0.9003385	0.9527062	0.8663119	0.4022140	0.9804593	0.1311787	0.2672144	0.2130237	0.1043237	0.7603911	0.5825988	1.0907315	0.8118159	0.7820947	0.7723668	0.9609674	0.8975201	0.5098147	0.9649032	1.1435008	0.4106758	1.1585202	0.8793362	0.7107356	0.8495929	0.9254871	0.9479917	0.7425695	0.3580450	0.5614557	0.7014891	0.9660381	1.1379543	0.2277211	1.0101301	0.7226959	0.6049459	0.3037864	0.8604813	0.5464698	0.7573645	0.9691607	0.7141693	0.9012903	0.1307631	0.9063064	1.1243615	0.7993752	1.0472451	0.7561598	0.5393210	0.7123454	0.8810191	0.9791945	0.4300130	0.0394106	0.3238967	0.8829441	0.9980627	0.3608782	0.8866322	1.1349657	0.2776024	0.4617255	0.9599084	0.8329312	0.4595094	0.1136983	0.3965461	0.5881711	0.9355989	0.9603861
0.8378234	0.0281437	0.4885049	0.4821149	0.2457804	0.0473335	0.8473456	0.3904692	1.0020085	0.2108804	0.8755237	0.4453778	0.9671832	0.1148067	0.1798901	0.4980745	0.1988244	1.0425535	0.0578350	1.2295822	0.9651157	0.2863578	0.7073776	0.9281398	0.9079954	0.6751852	0.0858459	0.8184723	0.9028448	1.0728310	0.9094907	0.4987286	1.0145211	0.1391890	0.5009723	0.2219287	0.0597430	0.6742553	0.5569092	1.0759381	0.8509134	0.9683419	0.7778206	0.8486833	1.0973800	0.6401173	1.0298006	0.9187980	0.2700090	1.1256041	1.0578683	0.7474191	0.9172830	0.9188119	0.8550979	0.8953555	0.6101677	0.6102072	0.7947797	0.8433261	0.9404896	0.3719338	1.0769664	0.9380747	0.5772643	0.4164205	0.8529509	0.5962101	0.8015931	1.0113399	0.5173065	0.7011171	0.1520934	1.1517136	1.0267299	0.7652769	1.0639737	0.6561310	0.6685480	0.8484088	0.9459571	1.0597080	0.4173484	0.0540833	0.3259994	0.7928465	1.0933394	0.2391148	0.7436737	0.6803286	0.4155966	0.4423878	1.0015992	0.9896366	0.3675178	0.0677954	0.5116467	0.4862432	1.0744378	0.9803062
0.9482875	0.0968644	0.4000698	0.5010464	0.0822707	0.2120415	0.9778791	0.7358075	1.0388940	0.1798180	0.9433966	0.4975422	0.9024963	0.0950257	0.0077892	0.1009592	0.4236244	0.9413510	0.0170910	0.9646904	1.0429997	0.7947651	0.8725223	0.6006830	0.8232005	0.7276788	0.8270262	0.8844316	0.9085304	1.0255193	1.0231978	0.3578672	0.4638522	0.2629815	0.1259414	0.2133016	0.0571814	0.5478519	0.4647259	0.5595993	1.0344782	0.7247779	0.9106982	0.9708473	0.8180094	0.3904951	0.8809642	1.0700181	0.0014650	0.8735747	0.9080773	0.6451754	0.8392848	0.9736453	1.0338809	0.7906254	0.8033849	0.4018985	0.9236528	0.8360672	1.1255805	0.3507754	0.6376894	0.8892939	0.6385974	0.6193915	1.0667798	0.1883192	0.6842133	0.9836300	1.0112156	1.0752478	0.0164243	0.9911789	0.9528741	0.6051204	0.8601701	0.5784986	1.0849610	0.5932406	0.8627746	0.9127954	0.6302143	0.0283812	0.1084848	0.9936479	0.7369821	0.3022532	0.7293701	1.0897193	0.2233023	0.6852170	0.4990467	1.0791652	1.0092154	0.6733866	0.5289706	0.8448586	0.7501335	1.1042209
1.1156667	0.1273558	0.2975808	0.5467995	0.0592520	0.2143507	1.1659508	0.8919055	0.8905400	0.1241751	1.1816053	0.3916030	0.9815185	0.1225293	0.0033236	0.1045273	0.2788292	0.9313509	0.0046964	0.8182902	0.9857004	1.0792943	1.1065436	0.7651341	1.0628927	0.7388942	0.7097269	0.8884918	0.8300274	1.1513034	0.7789428	0.3443620	0.6101469	0.4627527	0.1442000	0.1842601	0.1365091	0.5832004	0.3790806	0.4680331	1.0220318	0.5490561	1.1402935	0.9413698	1.0408553	0.2950730	1.0906041	0.9885541	0.0017491	1.0965237	0.7831467	0.7566661	0.9052016	0.9212453	0.9105577	0.8650001	0.7370810	0.5055868	1.0395065	0.7250117	0.8725012	0.2829015	0.5646601	0.9994497	0.5136282	0.4876561	0.9941411	0.2686047	0.9352611	1.1282761	1.0008781	0.8306204	0.0074841	1.1262053	1.1180182	0.7021517	0.7926397	0.5467597	1.1069601	0.4121503	0.9788412	0.9669807	0.5848055	0.0416484	0.1327099	0.8749127	0.9185090	0.2815860	0.8770165	1.1087071	0.2630918	0.5321087	0.4073045	1.0069328	1.0115194	0.6038700	0.4279042	1.0229135	0.6926315	1.1370409
0.9751999	0.4616184	0.5937506	0.4715883	0.2149116	0.1914437	0.6624830	1.0253456	1.0783318	0.1418949	0.9232376	0.6538117	0.9183435	0.1278137	0.0099242	0.1536670	0.0489276	0.8969376	0.4495997	1.2428505	0.5929453	1.0671579	1.0380629	1.0777948	0.7229558	0.5701301	0.7103635	0.8017495	0.8700324	0.9338235	0.6747243	0.7182981	1.0730405	0.2710830	0.5276533	0.6175477	0.0911635	0.7537237	0.8075130	0.9820422	1.0413502	0.9639294	1.0325233	1.0098216	1.1327001	0.8475886	0.5536777	1.0945873	0.0155914	0.7239776	0.8094801	0.9487575	1.0342398	1.0455866	1.0677578	0.8892282	1.1081798	0.7509993	0.9673717	1.0979816	0.7597365	0.8257637	0.5650558	1.1035819	0.4119591	0.3536481	0.8342565	0.1694699	0.8860570	0.6144506	0.9924939	0.5283255	0.1447901	0.8739950	1.1159607	0.8727057	0.6030832	0.6199725	0.8109388	0.8605508	0.5512323	0.5440829	0.6980996	0.3022804	0.2436369	1.0198805	0.8371653	0.1759850	0.7554416	0.9225565	0.3268567	0.4048609	0.9802940	0.9695352	1.0359921	0.4570909	0.6164378	0.8930404	0.5581210	0.8944119
0.7811174	0.0021858	0.8617540	0.4305457	0.1472089	0.1591711	0.7493876	0.9496570	0.9652369	0.6181694	0.9384045	0.4908907	1.0250520	0.0910369	0.4100005	0.1776878	0.2203969	0.5926175	0.0044216	0.8272254	0.5681335	0.9914472	1.0448899	0.8254248	0.9594598	0.8591170	0.0345901	0.8111969	0.6808163	0.9438794	0.8201664	0.5532347	0.8592156	0.8338792	0.7221149	0.0070156	0.0612386	0.5224044	0.4765633	0.9016855	0.6680789	0.7323202	0.9849979	0.8819004	0.9877097	0.8869939	1.0235807	1.0841053	0.0037066	0.5754808	1.0736506	0.6853971	1.0395244	0.7040640	0.8679433	0.9900375	0.0102616	0.0588299	1.0226226	0.7140764	1.1613215	0.8441417	0.6636779	1.0975484	0.7757301	1.1181874	0.9598158	0.7747987	1.0536850	0.8729622	0.8830494	0.4087861	0.0145835	0.7461281	0.8862340	1.0951125	1.2907795	0.9233769	0.7104209	0.4293996	0.7491938	1.0530723	0.3399410	0.6056753	0.0718520	0.7917249	0.8542946	0.3659875	1.0542042	0.8380475	0.1902745	0.5303227	0.7525477	0.9666240	1.1726359	0.9550498	0.4040027	0.7085594	1.1704701	0.8100543
